;Karol - Centrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;REDUTOWA  - 48-P;;;;U LESZKA;;;;¯abka Piêkna;;;;Metro;;;;Piekarnia;;;;Bia³obrzeska Warzywniak;;;;Sofia;;;;Zachodni.Arek;;;;OdiDo;;;;Minutka;;;;¯elazna;;;;Szko³a u Tomiego;;;;Elektrolarna;;;;Œródmieœcie;;;;¯abka Aleje;;;;¯abka Zawiszy;;;;Pruszkowska;;;;Rokosowska;;;;Top.market.Piêkna;;;;Hala;;;;Namys³owska;;;;OdiDo II;;;;Babice;;;;Kredytowa;;;;Fresh.Ho¿a;;;;Cepelek.Sofia;;;;Koszyki;;;;¯abka Marsza³kowska;;;;Zachodni.hala;;;;Pa³ac;;;;Delikatesy.Centrum;;;;Raszyn;;;;Chmielna;;;;Namys³owska II;;;;Carrefour Grójecka;;;;Bazar Banacha;;;;¯abka Œliska;;
Produkt;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA
P¹czek.24szt;94;"3";0,84;;264;;0,56;;;;0;;816;;0,56;;72;;0,56;;24;;0,56;;;;0;;;;;;24;;0,56;;144;;0,56;;;;0;;;;0;;;;0;;120;;0,56;;;;0;;;;0;;120;;0,56;;72;;0,56;;48;;0,56;;72;;0,56;;24;;0,56;;24;;0,56;;;;;;24;;0,56;;;;;;;;;;120;;0,56;;;;0;;;;0;;;;0;;;;;;72;;0,65;;;;;;72;;0,56;;24;8;0,65;;;;;;24;8;0,69
P¹czek.puder.24;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;24;;0,56;;;;0;;;;;;;;0
P¹czek.bezlukru.24;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
P¹czki promocyjne;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
PACZKI ZWYKLE;;;0;;;;0;;2;;1,01;;;;0;;;;0;;;;0;;5;;0,83;;;;;;;;0;;;;0;;9;6;1,01;;;;0;;;;0;;;;0;;7;;1,01;;5;;1,01;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;8;;1,01;;;;0;;6;;1,01;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
P¹czek Kinder;;;0;;5;;1,16;;;;0;;36;;0,65;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;2;;1,16;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,16
P¹czek S³ony Karmel;;;0;;;;0;;;;0;;24;;0,65;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,16
PRECLE;7;;1,16;;9;;1,01;;2;;1,16;;20;;0,56;;20;;0,83;;2;;1,16;;2;;1,16;;;;;;;;0;;2;;1,16;;5;2;1,16;;;;0;;;;0;;;;0;;3;1;1,16;;4;;1,16;;;;0;;;;0;;;;0;;;;0;;2;;1,16;;;;0;;;;;;2;;1,16;;;;;;;;;;3;;1,16;;5;;1,16;;5;1;1,16;;3;;1,16;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,16
DRO¯. Z SEREM;11;4;1,16;;22;3;1,01;;3;;1,16;;100;;0,65;;30;;0,83;;2;;1,16;;2;;1,16;;;;;;2;1;1,16;;6;;1,16;;2;;1,16;;7;;1,16;;4;;1,16;;;;0;;5;1;1,16;;7;;1,16;;;;0;;6;;1,16;;6;;1,16;;;;0;;3;;1,16;;1;;1,16;;;;;;4;;1,16;;;;;;;;;;5;1;1,16;;6;;1,16;;15;;1,16;;4;;1,16;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,16
DRO¯. Z BUDYNIEM;19;;1,16;;10;5;1,01;;2;;1,16;;30;;0,65;;;;0;;2;;1,16;;;;0;;;;;;2;1;1,16;;6;2;1,16;;1;;1,16;;6;;1,16;;4;;1,16;;;;0;;3;2;1,16;;3;;1,16;;;;0;;6;;1,16;;6;1;1,16;;;;0;;3;;1,16;;;;0;;;;;;3;;1,16;;;;;;;;;;;3;1,16;;3;;1,16;;10;;1,16;;3;;1,16;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
DRO¯. Z JAB£KIEM;10;;1,16;;10;4;1,01;;;;0;;30;;0,65;;10;;0,83;;2;;1,16;;1;;1,16;;;;;;2;;1,16;;3;;1,16;;;;0;;2;;1,16;;2;;1,16;;;;0;;3;1;1,16;;2;;1,16;;;;0;;4;1;1,16;;5;1;1,16;;;;0;;2;;1,16;;2;;1,16;;;;;;2;;1,16;;;;;;;;;;4;;1,16;;6;;1,16;;;;0;;2;;1,16;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,16
DRO¯. Z MARMOLAD¥;8;;1,16;;12;4;1,01;;1;;1,16;;20;;0,65;;5;;0,83;;;;0;;1;;1,16;;;;;;2;;1,16;;3;;1,16;;;;0;;4;;1,16;;3;;1,16;;;;0;;3;;1,16;;;;0;;;;0;;2;1;1,16;;2;;1,16;;;;0;;1;;1,16;;2;;1,16;;;;;;;;0;;;;;;;;;;3;1;1,16;;2;;1,16;;;;0;;3;;1,16;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
DRO¯. Z PORZECZK¥;;;0;;10;;1,4;;;;0;;30;;0,65;;;;0;;;;0;;;;0;;;;;;;;0;;3;1;1,4;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;4;;1,4;;1;;1,4;;;;0;;;;;;4;;1,4;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;2;;1,4
JAGODZIANKI;23;6;1,85;;15;6;1,85;;3;;1,85;;80;;0,65;;;;0;;;;0;;2;;1,85;;;;;;2;1;1,85;;;;0;;;;0;;;;0;;;;0;;;;0;;5;;1,85;;;;0;;6;;1,85;;8;3;1,85;;5;;1,85;;;;0;;15;;1,85;;;;0;;;;;;6;;1,85;;;;;;;;;;;;0;;7;;1,85;;;;0;;6;;1,85;;;;;;;;0;;;;;;15;;1,85;;15;10;1,48;;;;;;8;2;1,85
OPONKA;5;;1,16;;10;;1,01;;1;;1,16;;20;;0,65;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;2;;1,16;;;;0;;3;;1,16;;10;;1,16;;2;;1,16;;2;;1,16;;;;0;;2;1;1,16;;4;;1,16;;;;0;;1;;1,16;;1;;1,16;;;;;;;;0;;;;;;;;;;4;;1,16;;4;;1,16;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;2;2;0
GNIAZDKA;7;;1,16;;14;4;1,01;;3;;1,16;;30;;0,65;;;;0;;;;0;;;;0;;;;;;;;0;;2;;1,16;;1;1;0;;;;0;;2;;1,16;;;;0;;3;;1,16;;;;0;;4;;1,16;;;;0;;2;;1,16;;;;0;;;;0;;2;;1,16;;;;;;2;;1,16;;;;;;;;;;5;;1,16;;2;;1,16;;;;0;;2;;1,16;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;2;1,16
KWADRAT Z WIŒNI¥;;;0;;8;2;1,01;;;;0;;20;;0,65;;15;;0,83;;;;0;;2;;1,16;;;;;;;;0;;2;;1,16;;2;;1,16;;1;;1,16;;;;0;;;;0;;;;0;;1;;1,16;;;;0;;2;2;0;;3;;1,16;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;3;1;1,16;;2;;1,16;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
KWADRAT Z CZEKOLAD¥;;;0;;4;;1,01;;2;;1,16;;30;;0,65;;;;0;;;;0;;2;;1,16;;;;;;;;0;;3;1;1,16;;7;;1,16;;;;0;;2;;1,16;;;;0;;2;;1,16;;2;;1,16;;2;;1,16;;;;0;;3;;1,16;;;;0;;1;;1,16;;;;0;;;;;;3;;1,16;;;;;;;;;;3;;1,16;;4;;1,16;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
DRO¯. ZE ŒLIWK¥;;;0;;5;;1,01;;2;;1,16;;30;;0,74;;;;0;;;;0;;1;;1,16;;;;;;;;0;;;;0;;2;2;0;;;;0;;;;0;;;;0;;2;;1,16;;;;0;;;;0;;;;0;;4;1;1,16;;;;0;;;;0;;;;0;;;;;;4;;1,16;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
ŒLIMAK Z KOKOSEM;;;0;;6;2;1,01;;2;;1,16;;30;;0,65;;;;0;;;;0;;1;;1,16;;;;;;;;0;;3;1;1,16;;;;0;;;;0;;;;0;;;;0;;2;1;1,16;;1;;1,16;;;;0;;;;0;;3;1;1,16;;;;0;;;;0;;;;0;;;;;;2;;1,16;;;;;;;;;;3;1;1,16;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
Pizza;;;0;;12;;1,85;;;;0;;30;;1,11;;;;0;;2;;1,85;;3;;1,85;;;;;;2;;1,85;;;;0;;2;1;1,85;;;;0;;;;0;;;;0;;;;0;;;;0;;3;;1,85;;3;;1,85;;;;0;;2;;1,85;;3;;1,85;;;;0;;;;;;5;;1,85;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,85
MUFINKI.jasne;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
MUFINKI.ciemne;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
MUFINKA.porzeczka;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
BABKA.CYTRYNOWA;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
BABKA.MARMUREK;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
BABKA.CZEK.Z.WIŒNI¥;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
BABKA.MANDARYNKOWA;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
Karbowane;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
Kokosanka;;;0;;4;;3,74;;2;;3,93;;;;0;;;;0;;2;;3,93;;;;0;;;;;;;;0;;3;;3,93;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;4;;3,93;;2;;3,93;;;;0;;2;;3,93;;;;0;;;;;;4;;3,93;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
P¹czki liliputy (luz);;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
P¹czki liliputy (paczka);;;0;;;;0;;;;0;;7;;2;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
